iter	F1	Logloss
0	0.7956313095	0.6626262459
1	0.8112414221	0.6325893159
2	0.8293453041	0.6069401631
3	0.8266290504	0.5865090992
4	0.8259883204	0.5663083167
5	0.8287501743	0.547967874
6	0.8335866477	0.5301867788
7	0.8310454612	0.5165394277
8	0.8342544304	0.5021676317
9	0.8357433327	0.4893279957
10	0.8396983985	0.4780785367
11	0.8419814055	0.4695753582
12	0.8449842257	0.4601972582
13	0.8444216879	0.4500991761
14	0.8442946834	0.4424145501
15	0.8397226871	0.4366368319
16	0.8478449978	0.4278122212
17	0.8498871972	0.4220417225
18	0.8528941595	0.4166105022
19	0.8522934397	0.4112930019
20	0.8557332378	0.4052849524
21	0.8570528698	0.4017880965
22	0.8577141437	0.3966392407
23	0.8582432087	0.3905546107
24	0.8597875079	0.3867667685
25	0.8603156536	0.3821508357
26	0.8629244522	0.3778331421
27	0.8622688031	0.3749364036
28	0.8629669036	0.3718235884
29	0.8643438628	0.3685578944
30	0.8646767245	0.3655720804
31	0.8650291061	0.3629500304
32	0.8652471169	0.360180858
33	0.8655572687	0.3576710817
34	0.8661870565	0.3549250588
35	0.8657930378	0.3526761146
36	0.8667767095	0.3499127427
37	0.8661965617	0.3479295761
38	0.8680204005	0.3442422255
39	0.8687363443	0.3418965696
40	0.869034799	0.3393380092
41	0.8691953408	0.3365093761
42	0.8703197044	0.3350183422
43	0.8702386076	0.3337851429
44	0.8697910535	0.3319395998
45	0.871093815	0.3306406614
46	0.8718698605	0.3281080745
47	0.8717895304	0.3268886625
48	0.8735293153	0.3249469356
49	0.8746825835	0.3231513187
50	0.8741152011	0.3217721552
51	0.8758750579	0.320003053
52	0.8762657859	0.3185508336
53	0.8771658578	0.317347534
54	0.877555656	0.3149398282
55	0.8784328731	0.3137739563
56	0.8783947723	0.3119522505
57	0.8787453968	0.3108541546
58	0.8783031646	0.3097196111
59	0.8782421308	0.3083703127
60	0.8786313163	0.3069215109
61	0.8782039107	0.3058818027
62	0.878280327	0.3049638887
63	0.8792429383	0.3040073712
64	0.8797073125	0.3023352583
65	0.8812343862	0.3006629206
66	0.8817594832	0.2994396548
67	0.881096559	0.298691004
68	0.8830754756	0.2977225546
69	0.8832136772	0.2963682591
70	0.8834902102	0.2957123864
71	0.8829652691	0.2944272104
72	0.8835919794	0.2934468734
73	0.884109455	0.2924398616
74	0.8847004942	0.2914888052
75	0.8838978619	0.2906140306
76	0.8845254568	0.2899202117
77	0.8857806458	0.2890430247
78	0.8866542993	0.2874850186
79	0.8871423674	0.2868756356
80	0.8881180444	0.2857961352
81	0.8893716572	0.2842306839
82	0.8898244487	0.2835343816
83	0.8895457154	0.2825244603
84	0.8919128514	0.2820164205
85	0.8922938389	0.281558092
86	0.8928139874	0.2804336802
87	0.8932666789	0.2797629405
88	0.8933729758	0.2785116918
89	0.894905752	0.2774225747
90	0.8950788613	0.2770148296
91	0.8952933924	0.2765234684
92	0.8954994293	0.2763056339
93	0.8957144569	0.2754035585
94	0.89626651	0.2744761301
95	0.8966553994	0.274080489
96	0.8979741826	0.2732201522
97	0.8978335179	0.2726508289
98	0.8978335179	0.2715888759
99	0.8986781679	0.2711688822
100	0.8983196018	0.2707175981
101	0.8989282583	0.2702416203
102	0.898991864	0.2697316664
103	0.8982236355	0.2689874418
104	0.8992421513	0.2680411349
105	0.8992104171	0.2673579704
106	0.8990057086	0.2670866912
107	0.8999165896	0.2663313867
108	0.9001993692	0.2659175064
109	0.9004823266	0.2656420872
110	0.9014394007	0.2647452805
111	0.9047642471	0.2638957161
112	0.9057023349	0.2634638897
113	0.905274228	0.2628615712
114	0.9062495606	0.2619909802
115	0.9061365116	0.2612545723
116	0.907165592	0.2606464723
117	0.9068547788	0.2596980649
118	0.906594221	0.2591565966
119	0.9062791923	0.2587141823
120	0.9072828904	0.2582010537
121	0.9073964276	0.2578742954
122	0.9082543774	0.256914381
123	0.9080263852	0.2562978746
124	0.9080263852	0.2559963905
125	0.9078543351	0.2557199698
126	0.9083123867	0.2546499581
127	0.9086563426	0.2538844908
128	0.908370323	0.2536320453
129	0.9085985684	0.2532563019
130	0.9089137456	0.2522205157
131	0.9092862998	0.2517630323
132	0.9097730261	0.2509498783
133	0.9098015298	0.2506145504
134	0.910287945	0.2500592113
135	0.9098300156	0.2497154798
136	0.910287945	0.2492175013
137	0.910431189	0.2490275327
138	0.9104028836	0.2485570309
139	0.9108893571	0.2481709544
140	0.9112916005	0.2475908181
141	0.9113756774	0.2469532953
142	0.9109456351	0.2464352301
143	0.9112603159	0.2462027748
144	0.911519115	0.2456339615
145	0.912005336	0.2448165106
146	0.9124914037	0.2443542547
147	0.9130935087	0.2440109873
148	0.9120376923	0.2431646277
149	0.9127510596	0.2423806906
150	0.9134357422	0.2414909201
151	0.9132646524	0.2411702142
152	0.9131209627	0.2408757679
153	0.9134083873	0.2402047217
154	0.9129498234	0.2398453392
155	0.9138398635	0.2393732301
156	0.9139215079	0.2387406891
157	0.9136067781	0.2384692497
158	0.9137505216	0.2382914091
159	0.9129773183	0.2380212814
160	0.9138943103	0.2374707342
161	0.9137505216	0.2372974317
162	0.9132646524	0.2370165617
163	0.9132920482	0.2368087356
164	0.9138049817	0.2361715081
165	0.9136613201	0.2356372563
166	0.9146587956	0.2349486608
167	0.9155218415	0.2342909623
168	0.9156017971	0.2338146902
169	0.9156017971	0.2331429823
170	0.9156550171	0.2326249435
171	0.9156550171	0.2319944595
172	0.9162304645	0.2313251306
173	0.9161775729	0.2308403915
174	0.9161775729	0.2304346708
175	0.9168591316	0.2300714762
176	0.9170032052	0.2296604806
177	0.91806476	0.2291446967
178	0.9181164651	0.2287279112
179	0.9181681052	0.2281740506
180	0.9181422933	0.2278704181
181	0.9187707621	0.2272624938
182	0.9187707621	0.2268781734
183	0.9187451315	0.2264206309
184	0.9192038839	0.2257960656
185	0.9191783774	0.2254691987
186	0.919543658	0.2250578678
187	0.9196881306	0.2245049265
188	0.919543658	0.2240057424
189	0.9193992307	0.2236208863
190	0.9194246478	0.2228969061
191	0.9202225656	0.2224083051
192	0.9205616996	0.221896746
193	0.9205867319	0.2216761001
194	0.9207561619	0.2212473004
195	0.9209006207	0.2209514547
196	0.920875687	0.2202474534
197	0.9213590627	0.2199986062
198	0.9213342691	0.2195127471
199	0.9215036614	0.2188639076
200	0.9216235949	0.2184567282
201	0.9223966947	0.2180204799
202	0.9228801348	0.2175439964
203	0.9228801348	0.2172798487
204	0.9228801348	0.2169980337
205	0.9235325231	0.2165780711
206	0.9243772277	0.2159532688
207	0.9244984388	0.215620934
208	0.9246910172	0.2152662985
209	0.9246910172	0.2148561028
210	0.9246910172	0.21445609
211	0.9247147384	0.2138871199
212	0.9245460095	0.2135743719
213	0.9247384448	0.213137506
214	0.9250520375	0.2125551838
215	0.9254872302	0.2122447724
216	0.9263064075	0.2116679967
217	0.9261612377	0.211367115
218	0.9269105744	0.210824
219	0.92705593	0.2106218375
220	0.9273467781	0.2100539535
221	0.927806158	0.2096739826
222	0.9276834095	0.2093842753
223	0.9276834095	0.2086737154
224	0.9280424961	0.2083020622
225	0.9281879607	0.2079913345
226	0.9284790268	0.2077925957
227	0.928333471	0.2075963945
228	0.9287927171	0.2073596542
229	0.9286471121	0.2071483329
