iter	Passed	Remaining
0	62	31403
1	65	16266
2	68	11273
3	70	8746
4	72	7200
5	75	6188
6	77	5451
7	79	4898
8	81	4468
9	84	4137
10	87	3889
11	89	3657
12	92	3447
13	94	3265
14	96	3117
15	98	2984
16	101	2872
17	103	2761
18	105	2662
19	107	2578
20	109	2497
21	111	2428
22	114	2367
23	116	2305
24	118	2259
25	121	2208
26	123	2171
27	126	2125
28	128	2081
29	130	2042
30	132	2004
31	134	1972
32	136	1937
33	139	1908
34	141	1877
35	143	1849
36	145	1822
37	147	1795
38	149	1772
39	152	1749
40	154	1727
41	156	1707
42	158	1688
43	161	1668
44	163	1652
45	165	1634
46	168	1621
47	170	1606
48	172	1590
49	175	1575
50	177	1562
51	179	1547
52	181	1532
53	184	1522
54	186	1509
55	188	1495
56	190	1482
57	192	1470
58	195	1460
59	197	1447
60	199	1436
61	202	1427
62	204	1416
63	206	1406
64	208	1394
65	210	1385
66	212	1375
67	214	1364
68	217	1356
69	219	1346
70	221	1337
71	223	1327
72	225	1318
73	227	1310
74	229	1302
75	231	1293
76	234	1286
77	236	1278
78	238	1269
79	240	1262
80	242	1254
81	244	1248
82	247	1240
83	249	1233
84	251	1226
85	253	1221
86	255	1215
87	258	1208
88	260	1202
89	262	1195
90	264	1189
91	266	1183
92	268	1177
93	270	1170
94	273	1164
95	275	1158
96	277	1153
97	280	1148
98	282	1142
99	284	1136
100	286	1130
101	288	1127
102	291	1121
103	293	1116
104	295	1112
105	297	1107
106	301	1105
107	303	1100
108	305	1094
109	307	1089
110	309	1084
111	311	1080
112	314	1077
113	317	1074
114	319	1070
115	321	1065
116	323	1060
117	326	1055
118	328	1051
119	331	1049
120	333	1044
121	336	1041
122	338	1037
123	340	1032
124	342	1028
125	344	1024
126	347	1021
127	349	1016
128	352	1012
129	354	1010
130	357	1006
131	359	1001
132	361	997
133	364	994
134	366	990
135	368	986
136	370	982
137	373	978
138	375	976
139	378	972
140	380	969
141	383	966
142	386	965
143	388	961
144	391	957
145	393	953
146	395	950
147	398	948
148	401	945
149	403	941
150	405	937
151	407	933
152	409	929
153	412	926
154	414	923
155	417	919
156	419	915
157	421	912
158	423	908
159	425	904
160	428	901
161	430	899
162	433	895
163	435	891
164	437	888
165	439	884
166	441	880
167	443	877
168	446	874
169	449	871
170	451	868
171	453	864
172	455	861
173	457	857
174	460	855
175	462	851
176	464	848
177	467	844
178	469	841
179	471	838
180	473	835
181	477	833
182	479	830
183	481	827
184	484	824
185	486	821
186	488	817
187	490	814
188	493	811
189	495	808
190	497	805
191	499	801
192	502	798
193	504	795
194	506	792
195	509	790
196	511	786
197	513	783
198	516	780
199	518	777
200	520	774
201	523	772
202	526	769
203	528	766
204	530	763
205	532	760
206	535	757
207	537	754
208	539	751
209	541	748
210	544	745
211	546	742
212	548	739
213	550	735
214	552	732
215	554	729
216	557	726
217	559	723
218	561	720
219	563	717
220	565	714
221	567	711
222	570	708
223	572	704
224	574	702
225	576	699
226	579	696
227	581	693
228	583	690
229	585	687
230	588	684
231	590	681
232	592	678
233	594	676
234	596	673
235	599	670
236	601	667
237	603	664
238	605	661
239	608	658
240	610	655
241	612	653
242	614	650
243	616	647
244	619	645
245	621	642
246	624	639
247	626	636
248	628	633
249	630	630
250	632	627
251	635	625
252	637	622
253	639	619
254	642	617
255	644	614
256	647	611
257	649	609
258	651	606
259	654	603
260	657	601
261	659	599
262	661	596
263	663	593
264	666	590
265	668	587
266	670	585
267	672	582
268	674	579
269	676	576
270	679	574
271	681	571
272	683	568
273	686	566
274	688	563
275	691	561
276	693	558
277	696	556
278	708	561
279	710	558
280	713	556
281	715	553
282	717	550
283	720	547
284	722	545
285	725	542
286	727	539
287	729	536
288	731	534
289	733	531
290	735	528
291	738	525
292	740	522
293	742	520
294	744	517
295	746	514
296	748	511
297	750	508
298	753	506
299	755	503
300	757	500
301	759	497
302	761	495
303	763	492
304	766	489
305	768	487
306	770	484
307	772	481
308	774	478
309	776	476
310	779	473
311	781	470
312	783	468
313	785	465
314	787	462
315	790	460
316	792	457
317	794	454
318	796	451
319	798	449
320	800	446
321	803	443
322	805	441
323	807	438
324	809	435
325	811	433
326	813	430
327	816	427
328	818	425
329	820	422
330	822	419
331	824	417
332	826	414
333	829	412
334	831	409
335	833	406
336	835	404
337	837	401
338	839	398
339	842	396
340	844	393
341	846	391
342	848	388
343	851	386
344	853	383
345	855	380
346	857	378
347	859	375
348	861	372
349	863	370
350	866	367
351	868	365
352	870	362
353	872	359
354	875	357
355	877	354
356	879	352
357	881	349
358	884	347
359	886	344
360	888	342
361	890	339
362	892	336
363	895	334
364	897	331
365	899	329
366	901	326
367	903	324
368	906	321
369	907	319
370	910	316
371	912	313
372	914	311
373	916	308
374	918	306
375	920	303
376	922	301
377	925	298
378	927	295
379	929	293
380	931	290
381	933	288
382	935	285
383	938	283
384	940	280
385	942	278
386	944	275
387	947	273
388	949	270
389	951	268
390	953	265
391	955	263
392	957	260
393	959	258
394	961	255
395	963	253
396	965	250
397	968	248
398	970	245
399	972	243
400	975	240
401	978	238
402	980	235
403	982	233
404	984	230
405	986	228
406	988	225
407	992	223
408	994	221
409	996	218
410	999	216
411	1001	213
412	1003	211
413	1005	208
414	1007	206
415	1010	204
416	1012	201
417	1014	199
418	1017	196
419	1019	194
420	1021	191
421	1023	189
422	1025	186
423	1027	184
424	1030	181
425	1032	179
426	1034	176
427	1037	174
428	1039	172
429	1041	169
430	1044	167
431	1046	164
432	1048	162
433	1050	159
434	1052	157
435	1054	154
436	1056	152
437	1058	149
438	1061	147
439	1063	145
440	1065	142
441	1068	140
442	1070	137
443	1073	135
444	1075	132
445	1078	130
446	1080	128
447	1083	125
448	1085	123
449	1088	120
450	1090	118
451	1093	116
452	1096	113
453	1098	111
454	1100	108
455	1103	106
456	1105	103
457	1107	101
458	1110	99
459	1112	96
460	1114	94
461	1116	91
462	1118	89
463	1120	86
464	1122	84
465	1125	82
466	1127	79
467	1129	77
468	1131	74
469	1133	72
470	1136	69
471	1138	67
472	1140	65
473	1142	62
474	1144	60
475	1146	57
476	1148	55
477	1150	52
478	1153	50
479	1155	48
480	1157	45
481	1160	43
482	1162	40
483	1164	38
484	1166	36
485	1168	33
486	1170	31
487	1172	28
488	1175	26
489	1177	24
490	1179	21
491	1181	19
492	1183	16
493	1186	14
494	1188	12
495	1191	9
496	1193	7
497	1195	4
498	1197	2
499	1199	0
